id,title,all_artists,genre,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,emotion
871,High Horse,['Kacey Musgraves'],contemporary country,2018,FALSE,65,0.725,0.674,11,-5.254,0,0.0363,0.0325,3.55E-06,0.0531,0.773,120.057,4,Neutral
872,Never Gonna Give You Up,['Rick Astley'],new romantic,1987,FALSE,4,0.727,0.939,8,-11.855,1,0.0369,0.135,4.35E-05,0.151,0.916,113.33,4,Neutral
873,Cruel Summer,['Bananarama'],dance pop,1984,FALSE,66,0.666,0.871,1,-6.017,0,0.0272,0.27,0.0208,0.263,0.936,108.501,4,Neutral
874,Undone - The Sweater Song,['Weezer'],alternative rock,1994,FALSE,0,0.45,0.652,6,-5.541,1,0.0276,0.00556,0.000786,0.0933,0.514,80.128,4,Neutral
875,Light up for You,['LOYAL'],brighton indie,2017,FALSE,41,0.738,0.632,7,-8.107,0,0.0862,0.242,0,0.072,0.697,118.003,4,Neutral
876,Froot,['MARINA'],dance pop,2015,FALSE,49,0.614,0.812,7,-5.849,0,0.0416,0.263,1.14E-05,0.102,0.726,120.019,4,Neutral
877,Electric Love,['BØRNS'],modern alternative rock,2014,FALSE,38,0.621,0.853,1,-6.537,0,0.0615,0.00448,0.0012,0.236,0.65,120.017,4,Neutral
878,Where Is The Love?,['Black Eyed Peas'],dance pop,2003,FALSE,70,0.834,0.696,5,-3.224,1,0.197,0.11,0,0.13,0.804,94.09,4,Neutral
879,I Gotta Feeling,['Black Eyed Peas'],dance pop,2009,FALSE,72,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,4,Neutral
880,No New Friends,"['Sia', 'Diplo', 'Labrinth', 'LSD']",australian dance,2019,FALSE,0,0.724,0.702,7,-4.622,1,0.0429,0.0648,0.000256,0.121,0.688,106.044,4,Neutral
